NODE_5_length_319503_cov_127.011757_N1	1	128	+
NODE_5_length_319503_cov_127.011757_N2	2055	2116	+
NODE_5_length_319503_cov_127.011757_N3	11919	14764	+
NODE_5_length_319503_cov_127.011757_N4	19924	19945	+
NODE_5_length_319503_cov_127.011757_N5	25401	31710	+
NODE_5_length_319503_cov_127.011757_N6	34408	36049	+
NODE_5_length_319503_cov_127.011757_N7	37507	37577	+
NODE_5_length_319503_cov_127.011757_N8	39565	45983	+
NODE_5_length_319503_cov_127.011757_N9	48848	50614	+
NODE_5_length_319503_cov_127.011757_N10	52812	55060	+
NODE_5_length_319503_cov_127.011757_N11	58970	62106	+
NODE_5_length_319503_cov_127.011757_N12	63585	66307	+
NODE_5_length_319503_cov_127.011757_N13	69001	69065	+
NODE_5_length_319503_cov_127.011757_N14	74359	74558	+
NODE_5_length_319503_cov_127.011757_N15	76519	76730	+
NODE_5_length_319503_cov_127.011757_N16	80690	80759	+
NODE_5_length_319503_cov_127.011757_N17	85398	85460	+
NODE_5_length_319503_cov_127.011757_N18	87537	88322	+
NODE_5_length_319503_cov_127.011757_N19	89720	89755	+
NODE_5_length_319503_cov_127.011757_N20	93091	93182	+
NODE_5_length_319503_cov_127.011757_N21	97227	97532	+
NODE_5_length_319503_cov_127.011757_N22	102983	103046	+
NODE_5_length_319503_cov_127.011757_N23	110604	110965	+
NODE_5_length_319503_cov_127.011757_N24	112221	112286	+
NODE_5_length_319503_cov_127.011757_N25	114848	117276	+
NODE_5_length_319503_cov_127.011757_N26	119330	119395	+
NODE_5_length_319503_cov_127.011757_N27	122275	122338	+
NODE_5_length_319503_cov_127.011757_N28	125086	125271	+
NODE_5_length_319503_cov_127.011757_N29	131400	131681	+
NODE_5_length_319503_cov_127.011757_N30	136615	136676	+
NODE_5_length_319503_cov_127.011757_N31	138467	138691	+
NODE_5_length_319503_cov_127.011757_N32	146786	146881	+
NODE_5_length_319503_cov_127.011757_N33	149439	150072	+
NODE_5_length_319503_cov_127.011757_N34	151606	151676	+
NODE_5_length_319503_cov_127.011757_N35	156756	156831	+
NODE_5_length_319503_cov_127.011757_N36	158738	160071	+
NODE_5_length_319503_cov_127.011757_N37	166498	166538	+
NODE_5_length_319503_cov_127.011757_N38	171297	171360	+
NODE_5_length_319503_cov_127.011757_N39	174352	174616	+
NODE_5_length_319503_cov_127.011757_N40	179872	179941	+
NODE_5_length_319503_cov_127.011757_N41	183704	186116	+
NODE_5_length_319503_cov_127.011757_N42	187642	189095	+
NODE_5_length_319503_cov_127.011757_N43	191090	191144	+
NODE_5_length_319503_cov_127.011757_N44	195461	196813	+
NODE_5_length_319503_cov_127.011757_N45	203945	204930	+
NODE_5_length_319503_cov_127.011757_N46	206657	207862	+
NODE_5_length_319503_cov_127.011757_N47	209227	210149	+
NODE_5_length_319503_cov_127.011757_N48	213125	213169	+
NODE_5_length_319503_cov_127.011757_N49	215771	215807	+
NODE_5_length_319503_cov_127.011757_N50	217333	217413	+
NODE_5_length_319503_cov_127.011757_N51	221080	221707	+
NODE_5_length_319503_cov_127.011757_N52	227957	230091	+
NODE_5_length_319503_cov_127.011757_N53	232354	232534	+
NODE_5_length_319503_cov_127.011757_N54	247532	247607	+
NODE_5_length_319503_cov_127.011757_N55	256533	257944	+
NODE_5_length_319503_cov_127.011757_N56	259694	259766	+
NODE_5_length_319503_cov_127.011757_N57	261162	263708	+
NODE_5_length_319503_cov_127.011757_N58	265907	265973	+
NODE_5_length_319503_cov_127.011757_N59	273263	274441	+
NODE_5_length_319503_cov_127.011757_N60	275763	275856	+
NODE_5_length_319503_cov_127.011757_N61	280980	282093	+
NODE_5_length_319503_cov_127.011757_N62	283641	284636	+
NODE_5_length_319503_cov_127.011757_N63	287878	288268	+
NODE_5_length_319503_cov_127.011757_N64	289497	289548	+
NODE_5_length_319503_cov_127.011757_N65	291031	291106	+
NODE_5_length_319503_cov_127.011757_N66	293781	295012	+
NODE_5_length_319503_cov_127.011757_N67	297152	298308	+
NODE_5_length_319503_cov_127.011757_N68	304814	304887	+
NODE_5_length_319503_cov_127.011757_N69	310860	310919	+
NODE_33_length_57730_cov_105.424370_N1	1143	1201	+
NODE_33_length_57730_cov_105.424370_N2	8430	13294	+
NODE_33_length_57730_cov_105.424370_N3	17491	17571	+
NODE_33_length_57730_cov_105.424370_N4	19609	20029	+
NODE_33_length_57730_cov_105.424370_N5	22452	23127	+
NODE_33_length_57730_cov_105.424370_N6	24820	24910	+
NODE_33_length_57730_cov_105.424370_N7	26218	26303	+
NODE_33_length_57730_cov_105.424370_N8	27531	29050	+
NODE_33_length_57730_cov_105.424370_N9	32187	32231	+
NODE_33_length_57730_cov_105.424370_N10	36385	36481	+
NODE_33_length_57730_cov_105.424370_N11	38758	39635	+
NODE_33_length_57730_cov_105.424370_N12	46701	46760	+
NODE_33_length_57730_cov_105.424370_N13	50422	50511	+
NODE_33_length_57730_cov_105.424370_N14	52722	53091	+
NODE_33_length_57730_cov_105.424370_N15	57241	57730	+
NODE_39_length_27087_cov_98.514392_N1	1	762	+
NODE_39_length_27087_cov_98.514392_N2	3299	3364	+
NODE_39_length_27087_cov_98.514392_N3	5677	5743	+
NODE_39_length_27087_cov_98.514392_N4	14838	14902	+
NODE_39_length_27087_cov_98.514392_N5	16176	18379	+
NODE_39_length_27087_cov_98.514392_N6	20470	21001	+
NODE_39_length_27087_cov_98.514392_N7	23560	24619	+
NODE_39_length_27087_cov_98.514392_N8	26913	27087	+
NODE_48_length_6236_cov_124.696212_N1	1	106	+
NODE_11_length_171315_cov_115.339960_N1	11970	15978	+
NODE_11_length_171315_cov_115.339960_N2	17637	25131	+
NODE_11_length_171315_cov_115.339960_N3	32620	32851	+
